OMRÅDE;ALDER;CIVILSTAND;TID;INDHOLD
Region Hovedstaden;I alt;Fraskilt;2022K1;178689
Region Hovedstaden;I alt;Gift/separeret;2022K1;617800
Region Hovedstaden;I alt;Ugift;2022K1;995719
Region Hovedstaden;0 år;Fraskilt;2022K1;0
Region Hovedstaden;0 år;Gift/separeret;2022K1;0
Region Hovedstaden;0 år;Ugift;2022K1;22715
Region Hovedstaden;1 år;Fraskilt;2022K1;0
Region Hovedstaden;1 år;Gift/separeret;2022K1;0
Region Hovedstaden;1 år;Ugift;2022K1;21397
Region Hovedstaden;2 år;Fraskilt;2022K1;0
Region Hovedstaden;2 år;Gift/separeret;2022K1;0
Region Hovedstaden;2 år;Ugift;2022K1;21256
Region Hovedstaden;3 år;Fraskilt;2022K1;0
Region Hovedstaden;3 år;Gift/separeret;2022K1;0
Region Hovedstaden;3 år;Ugift;2022K1;20553
Region Hovedstaden;4 år;Fraskilt;2022K1;0
Region Hovedstaden;4 år;Gift/separeret;2022K1;0
Region Hovedstaden;4 år;Ugift;2022K1;20497
Region Hovedstaden;5 år;Fraskilt;2022K1;0
Region Hovedstaden;5 år;Gift/separeret;2022K1;0
Region Hovedstaden;5 år;Ugift;2022K1;20358
Region Hovedstaden;6 år;Fraskilt;2022K1;0
Region Hovedstaden;6 år;Gift/separeret;2022K1;0
Region Hovedstaden;6 år;Ugift;2022K1;19286
Region Hovedstaden;7 år;Fraskilt;2022K1;0
Region Hovedstaden;7 år;Gift/separeret;2022K1;0
Region Hovedstaden;7 år;Ugift;2022K1;19234
Region Hovedstaden;8 år;Fraskilt;2022K1;0
Region Hovedstaden;8 år;Gift/separeret;2022K1;0
Region Hovedstaden;8 år;Ugift;2022K1;18774
Region Hovedstaden;9 år;Fraskilt;2022K1;0
Region Hovedstaden;9 år;Gift/separeret;2022K1;0
Region Hovedstaden;9 år;Ugift;2022K1;19492
Region Hovedstaden;10 år;Fraskilt;2022K1;0
Region Hovedstaden;10 år;Gift/separeret;2022K1;0
Region Hovedstaden;10 år;Ugift;2022K1;19643
Region Hovedstaden;11 år;Fraskilt;2022K1;0
Region Hovedstaden;11 år;Gift/separeret;2022K1;0
Region Hovedstaden;11 år;Ugift;2022K1;21017
Region Hovedstaden;12 år;Fraskilt;2022K1;0
Region Hovedstaden;12 år;Gift/separeret;2022K1;0
Region Hovedstaden;12 år;Ugift;2022K1;20552
Region Hovedstaden;13 år;Fraskilt;2022K1;0
Region Hovedstaden;13 år;Gift/separeret;2022K1;0
Region Hovedstaden;13 år;Ugift;2022K1;20929
Region Hovedstaden;14 år;Fraskilt;2022K1;0
Region Hovedstaden;14 år;Gift/separeret;2022K1;0
Region Hovedstaden;14 år;Ugift;2022K1;20733
Region Hovedstaden;15 år;Fraskilt;2022K1;0
Region Hovedstaden;15 år;Gift/separeret;2022K1;0
Region Hovedstaden;15 år;Ugift;2022K1;20624
Region Hovedstaden;16 år;Fraskilt;2022K1;0
Region Hovedstaden;16 år;Gift/separeret;2022K1;0
Region Hovedstaden;16 år;Ugift;2022K1;19997
Region Hovedstaden;17 år;Fraskilt;2022K1;0
Region Hovedstaden;17 år;Gift/separeret;2022K1;0
Region Hovedstaden;17 år;Ugift;2022K1;19825
Region Hovedstaden;18 år;Fraskilt;2022K1;0
Region Hovedstaden;18 år;Gift/separeret;2022K1;4
Region Hovedstaden;18 år;Ugift;2022K1;20108
Region Hovedstaden;19 år;Fraskilt;2022K1;0
Region Hovedstaden;19 år;Gift/separeret;2022K1;20
Region Hovedstaden;19 år;Ugift;2022K1;20487
Region Hovedstaden;20 år;Fraskilt;2022K1;2
Region Hovedstaden;20 år;Gift/separeret;2022K1;90
Region Hovedstaden;20 år;Ugift;2022K1;22097
Region Hovedstaden;21 år;Fraskilt;2022K1;6
Region Hovedstaden;21 år;Gift/separeret;2022K1;208
Region Hovedstaden;21 år;Ugift;2022K1;24486
Region Hovedstaden;22 år;Fraskilt;2022K1;33
Region Hovedstaden;22 år;Gift/separeret;2022K1;364
Region Hovedstaden;22 år;Ugift;2022K1;25777
Region Hovedstaden;23 år;Fraskilt;2022K1;40
Region Hovedstaden;23 år;Gift/separeret;2022K1;577
Region Hovedstaden;23 år;Ugift;2022K1;27319
Region Hovedstaden;24 år;Fraskilt;2022K1;56
Region Hovedstaden;24 år;Gift/separeret;2022K1;977
Region Hovedstaden;24 år;Ugift;2022K1;28307
Region Hovedstaden;25 år;Fraskilt;2022K1;125
Region Hovedstaden;25 år;Gift/separeret;2022K1;1429
Region Hovedstaden;25 år;Ugift;2022K1;28701
Region Hovedstaden;26 år;Fraskilt;2022K1;180
Region Hovedstaden;26 år;Gift/separeret;2022K1;2176
Region Hovedstaden;26 år;Ugift;2022K1;28974
Region Hovedstaden;27 år;Fraskilt;2022K1;208
Region Hovedstaden;27 år;Gift/separeret;2022K1;3270
Region Hovedstaden;27 år;Ugift;2022K1;28757
Region Hovedstaden;28 år;Fraskilt;2022K1;344
Region Hovedstaden;28 år;Gift/separeret;2022K1;4411
Region Hovedstaden;28 år;Ugift;2022K1;26413
Region Hovedstaden;29 år;Fraskilt;2022K1;448
Region Hovedstaden;29 år;Gift/separeret;2022K1;5858
Region Hovedstaden;29 år;Ugift;2022K1;24924
Region Hovedstaden;30 år;Fraskilt;2022K1;608
Region Hovedstaden;30 år;Gift/separeret;2022K1;7063
Region Hovedstaden;30 år;Ugift;2022K1;22494
Region Hovedstaden;31 år;Fraskilt;2022K1;661
Region Hovedstaden;31 år;Gift/separeret;2022K1;8305
Region Hovedstaden;31 år;Ugift;2022K1;20996
Region Hovedstaden;32 år;Fraskilt;2022K1;845
Region Hovedstaden;32 år;Gift/separeret;2022K1;9121
Region Hovedstaden;32 år;Ugift;2022K1;18870
Region Hovedstaden;33 år;Fraskilt;2022K1;1002
Region Hovedstaden;33 år;Gift/separeret;2022K1;10380
Region Hovedstaden;33 år;Ugift;2022K1;16753
Region Hovedstaden;34 år;Fraskilt;2022K1;1124
Region Hovedstaden;34 år;Gift/separeret;2022K1;10678
Region Hovedstaden;34 år;Ugift;2022K1;14522
Region Hovedstaden;35 år;Fraskilt;2022K1;1265
Region Hovedstaden;35 år;Gift/separeret;2022K1;11139
Region Hovedstaden;35 år;Ugift;2022K1;13356
Region Hovedstaden;36 år;Fraskilt;2022K1;1414
Region Hovedstaden;36 år;Gift/separeret;2022K1;11393
Region Hovedstaden;36 år;Ugift;2022K1;11879
Region Hovedstaden;37 år;Fraskilt;2022K1;1550
